[2018-05-08 08:48:01,318][INFO] ## 2018-05-08T08:48:01.318495: step 182, loss 63.8486, acc 0.3125
[2018-05-08 08:48:02,071][INFO] ## 2018-05-08T08:48:02.071549: step 183, loss 65.5075, acc 0.25
[2018-05-08 08:48:02,841][INFO] ## 2018-05-08T08:48:02.841960: step 184, loss 63.2822, acc 0.28125
[2018-05-08 08:48:03,588][INFO] ## 2018-05-08T08:48:03.588842: step 185, loss 64.3168, acc 0.34375
[2018-05-08 08:48:04,331][INFO] ## 2018-05-08T08:48:04.331840: step 186, loss 61.3941, acc 0.421875
[2018-05-08 08:48:05,092][INFO] ## 2018-05-08T08:48:05.092318: step 187, loss 61.45, acc 0.421875
[2018-05-08 08:48:05,852][INFO] ## 2018-05-08T08:48:05.852723: step 188, loss 61.2917, acc 0.453125
[2018-05-08 08:48:06,608][INFO] ## 2018-05-08T08:48:06.608243: step 189, loss 64.1885, acc 0.296875
[2018-05-08 08:48:07,358][INFO] ## 2018-05-08T08:48:07.358729: step 190, loss 65.3524, acc 0.25
[2018-05-08 08:48:08,121][INFO] ## 2018-05-08T08:48:08.121919: step 191, loss 63.4163, acc 0.328125
[2018-05-08 08:48:08,872][INFO] ## 2018-05-08T08:48:08.872319: step 192, loss 63.868, acc 0.328125
[2018-05-08 08:48:09,624][INFO] ## 2018-05-08T08:48:09.624018: step 193, loss 63.8179, acc 0.3125
[2018-05-08 08:48:10,379][INFO] ## 2018-05-08T08:48:10.379327: step 194, loss 65.1291, acc 0.25
[2018-05-08 08:48:11,132][INFO] ## 2018-05-08T08:48:11.132375: step 195, loss 63.4781, acc 0.265625
[2018-05-08 08:48:11,872][INFO] ## 2018-05-08T08:48:11.872769: step 196, loss 63.5963, acc 0.328125
[2018-05-08 08:48:12,639][INFO] ## 2018-05-08T08:48:12.639429: step 197, loss 63.5708, acc 0.265625
[2018-05-08 08:48:13,392][INFO] ## 2018-05-08T08:48:13.392485: step 198, loss 61.8308, acc 0.4375
[2018-05-08 08:48:14,148][INFO] ## 2018-05-08T08:48:14.148854: step 199, loss 64.6959, acc 0.265625
[2018-05-08 08:48:14,933][INFO] ## 2018-05-08T08:48:14.933059: step 200, loss 63.0028, acc 0.25
[2018-05-08 08:48:14,933][INFO] ## 
Evaluation:
[2018-05-08 08:48:29,197][INFO] ## dev_loss 1193.11, dev_acc 0.315197, num_dev_batches 18.5312
[2018-05-08 08:48:29,949][INFO] ## 2018-05-08T08:48:29.949501: step 220, loss 62.8331, acc 0.359375
[2018-05-08 08:48:30,699][INFO] ## 2018-05-08T08:48:30.699901: step 221, loss 66.292, acc 0.265625
[2018-05-08 08:48:31,450][INFO] ## 2018-05-08T08:48:31.450765: step 222, loss 61.6262, acc 0.296875
[2018-05-08 08:48:32,203][INFO] ## 2018-05-08T08:48:32.203950: step 223, loss 62.6954, acc 0.484375
[2018-05-08 08:48:32,959][INFO] ## 2018-05-08T08:48:32.959726: step 224, loss 63.323, acc 0.296875
[2018-05-08 08:48:33,700][INFO] ## 2018-05-08T08:48:33.700121: step 225, loss 61.8383, acc 0.390625
[2018-05-08 08:48:34,473][INFO] ## 2018-05-08T08:48:34.473304: step 226, loss 63.4968, acc 0.34375
[2018-05-08 08:48:35,219][INFO] ## 2018-05-08T08:48:35.219443: step 227, loss 64.6768, acc 0.34375
[2018-05-08 08:48:35,974][INFO] ## 2018-05-08T08:48:35.974472: step 228, loss 65.2932, acc 0.1875
[2018-05-08 08:48:36,734][INFO] ## 2018-05-08T08:48:36.734877: step 229, loss 62.4795, acc 0.375
[2018-05-08 08:48:37,485][INFO] ## 2018-05-08T08:48:37.485239: step 230, loss 63.369, acc 0.3125
[2018-05-08 08:48:38,230][INFO] ## 2018-05-08T08:48:38.230007: step 231, loss 63.0951, acc 0.328125
[2018-05-08 08:48:38,976][INFO] ## 2018-05-08T08:48:38.976535: step 232, loss 64.2448, acc 0.296875
[2018-05-08 08:48:39,728][INFO] ## 2018-05-08T08:48:39.728256: step 233, loss 61.5698, acc 0.359375
[2018-05-08 08:48:40,480][INFO] ## 2018-05-08T08:48:40.480617: step 234, loss 62.942, acc 0.28125
[2018-05-08 08:48:41,233][INFO] ## 2018-05-08T08:48:41.233880: step 235, loss 64.3523, acc 0.296875
[2018-05-08 08:48:41,990][INFO] ## 2018-05-08T08:48:41.990544: step 236, loss 62.3574, acc 0.40625
[2018-05-08 08:48:42,740][INFO] ## 2018-05-08T08:48:42.740944: step 237, loss 61.9229, acc 0.40625
[2018-05-08 08:48:43,504][INFO] ## 2018-05-08T08:48:43.504086: step 238, loss 63.1845, acc 0.296875
[2018-05-08 08:48:44,260][INFO] ## 2018-05-08T08:48:44.260282: step 239, loss 63.7219, acc 0.296875
[2018-05-08 08:48:45,016][INFO] ## 2018-05-08T08:48:45.016609: step 240, loss 64.1642, acc 0.265625
[2018-05-08 08:48:45,757][INFO] ## 2018-05-08T08:48:45.757003: step 241, loss 66.6177, acc 0.09375
[2018-05-08 08:48:46,510][INFO] ## 2018-05-08T08:48:46.510907: step 242, loss 63.8155, acc 0.203125
[2018-05-08 08:48:47,264][INFO] ## 2018-05-08T08:48:47.264057: step 243, loss 63.547, acc 0.328125
[2018-05-08 08:48:48,017][INFO] ## 2018-05-08T08:48:48.017712: step 244, loss 62.5512, acc 0.34375
